id,title,releaseDate,rating,genres,description,platforms,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,platform_metascores,developer,publisher
1300523820,God of War: Ragnarok,2022-11-09,M,Action Adventure,"The freezing winds of Fimbulwinter have come to Midgard, making survival for Kratos, Atreus, and Mimir in the Norse wilds even more challenging than before.  Kratos, still bearing the knowledge of his past mistakes, wants to spare Atreus the bloody lessons he learned from his conflict with gods. He wants to keep his son safe, above all, and their confrontation with Baldur has vindicated the belief that only tragedy will come from further entanglements with the Aesir. Together, Kratos and Atreus will have to make a choice about which path they will take. Whatever they choose will define the fate of all those living in the Nine Realms as Ragnarok approaches. Whatever your choice of combat strategy, the enemies that await in God of War Ragnarök will be ready. The realms have grown harsher, and a whole host of new creatures from across Norse mythology will test your skills. God of War Ragnarök will take you to the previously unreachable Vanaheim, Svartalfheim, and Asgard - as well as to new areas from locations featured in the last game. Exploring the realms will take you everywhere from verdant, otherworldly jungles to intricate subterranean mining networks. This next installment in the series will bring you a more diverse, beautiful, and mysterious variety of locations than in any other God of War game.","PlayStation 5,PC",94.0,141.0,Universal acclaim,82.0,13358,Generally favorable,"94,90",SCE Santa Monica,"PlayStation Studios,Sony Interactive Entertainment"
1300462907,The Last of Us Part II,2020-06-19,M,Survival,"Five years after their dangerous journey across the post-pandemic United States, Ellie and Joel have settled down in Jackson, Wyoming. Living amongst a thriving community of survivors has allowed them peace and stability, despite the constant threat of the infected and other, more desperate survivors. When a violent event disrupts that peace, Ellie embarks on a relentless journey to carry out justice and find closure. As she hunts those responsible one by one, she is confronted with the devastating physical and emotional repercussions of her actions. ",PlayStation 4,93.0,121.0,Universal acclaim,58.0,164382,Mixed or average,93,Naughty Dog,Sony Interactive Entertainment
1300509340,Half-Life: Alyx,2020-03-23,,FPS,"Half-Life: Alyx is Valve's VR return to the Half-Life series. It's the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity's only chance for survival. The Combine's control of the planet since the Black Mesa incident has only strengthened as they corral the remaining population in cities. Among them are some of Earth's greatest scientists: you and your father, Dr. Eli Vance. As founders of a fledgling resistance, you've continued your clandestine scientific activityperforming critical research, and building invaluable tools for the few humans brave enough to defy the Combine. Every day, you learn more about your enemy, and every day you work toward finding a weakness.

ABOUT GAMEPLAY IN VR:

Valve's return to the Half-Life universe that started it all was built from the ground up for virtual reality. VR was built to enable the gameplay that sits at the heart of Half-Life.

Immerse yourself in deep environmental interactions, puzzle solving, world exploration, and visceral combat.

Lean to aim around a broken wall and under a Barnacle to make an impossible shot. Rummage through shelves to find a healing syringe and some shotgun shells. Manipulate tools to hack alien interfaces. Toss a bottle through a window to distract an enemy. Rip a Headcrab off your face and throw it at a Combine soldier.

Extra content for Index owners
Customers who have purchased Valve Index hardware by the end of 2019 will have access to unique bonuses starting early next year:

* Explore environments from Half-Life: Alyx in your SteamVR Home space
* Alternate gun skins to embellish Alyx's arsenal
* Special Half-Life: Alyx-themed content for Counter-Strike: Global Offensive and Dota 2

Community-built environments

* A set of Source 2 tools for building new environments will ship with the game, enabling any player to build and contribute new environments for the community to enjoy. Hammer, Valve's level authoring tool, has been updated with all of the game's virtual reality gameplay tools and components.",PC,93.0,69.0,Universal acclaim,91.0,2852,Universal acclaim,93,Valve Software,Valve Software
1300571786,Resident Evil 4,2023-03-24,M,Survival,"Resident Evil 4, 2005’s legendary survival horror, is brought fully up-to-date in this ground-up remake. Six years after the events of Resident Evil 2, Raccoon City survivor Leon Kennedy has been dispatched to a secluded European village to investigate the disappearance of the US president’s daughter. What he discovers there is unlike anything he has faced before. Every aspect of the classic game has been updated for the current generation, from modernized graphics and controls, to a reimagined storyline that may surprise even hardened fans of the original game.
","PlayStation 5,Xbox Series X,PC",93.0,126.0,Universal acclaim,88.0,6453,Generally favorable,"93,91,91",Capcom,Capcom
1300572558,Final Fantasy VII Rebirth,2024-02-29,T,Action RPG,"FINAL FANTASY VII REBIRTH is the  new story in the FINAL FANTASY VII remake project, a reimagining of the iconic original game into three standalone titles by its original creators. In this game, players will enjoy various new elements as the story unfolds, culminating in the party’s journey to “The Forgotten Capital” from the original FINAL FANTASY VII. Cloud and his comrades escape the city of Midgar in pursuit of the fallen hero, Sephiroth. As they travel across the world, they find themselves on a journey that will decide the fate of the planet. In this standalone adventure for fans and newcomers, Cloud and his comrades venture across the planet, their fates unwritten, making each step outside the dystopian city of Midgar fresh and mysterious. [Square Enix]","PlayStation 5,PC",92.0,145.0,Universal acclaim,89.0,5594,Generally favorable,"92,89",Square Enix,Square Enix
1300598256,Super Mario Bros. Wonder,2023-10-20,E,2D Platformer,"Find wonder in the next evolution of Mario fun. Classic Mario side-scrolling gameplay is turned on its head with the addition of Wonder Flowers. These game-changing items trigger spectacular moments you have to see to believe...Witness pipes coming alive, wreak havoc as a giant spiky ball, and see even more unexpected events called Wonder Effects. Pick from heroic Super Mario™ characters and Power-Ups. Choose from familiar characters including Mario, Luigi, Peach, Daisy, Yoshi and Toad. Transform into Elephant Mario to use your trunk to trounce enemies with a surprising new Power-Up! Share the wonder with friends and Mario fans. Team up with up to three friends locally* and gather around one Nintendo Switch™ system to experience the game-bending Wonder Effects together as you tackle courses as a team and help each other on your way to the goal.",Nintendo Switch,92.0,130.0,Universal acclaim,90.0,2613,Universal acclaim,92,Nintendo,Nintendo
1300588431,Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,2023-04-25,T,Action RPG,"Set before the events of Xenoblade Chronicles 3, join a cast of new and familiar characters in this original story scenario that connects all three instalments in the Xenoblade Chronicles series. Future Redeemed also features new battle mechanics, such as Unity Combo, where two characters can attack in unison.",Nintendo Switch,92.0,14.0,Universal acclaim,88.0,493,Generally favorable,92,Monolith Soft,Nintendo
1300538293,Forza Horizon 5,2021-11-05,E,Auto Racing Sim,"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars. ","PC,Xbox Series X",92.0,103.0,Universal acclaim,82.0,4978,Generally favorable,"91,92",Playground Games,Xbox Game Studios
1300518507,Demon's Souls,2020-11-11,M,Action RPG,"From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality and incredible performance. In his quest for power, the 12th King of Boletaria, King Allant channelled the ancient Soul Arts, awakening a demon from the dawn of time itself, The Old One. With the summoning of The Old One, a colorless fog swept across the land, unleashing nightmarish creatures that hungered for human souls. Those whose souls were stripped from them, lost their minds – left only with the desire to attack the sane that remained. Now, Boletaria is cut off from the outside world, and the knights who dare penetrate the deep fog to free the land from its plight, are never seen again. As a lone warrior who has braved the baneful fog, you must face the hardest of challenges to earn the title “Slayer of Demons” and send The Old One back to its slumber.",PlayStation 5,92.0,100.0,Universal acclaim,84.0,4357,Generally favorable,92,"Bluepoint Games,JapanStudio","Sony Interactive Entertainment,PlayStation Studios"
1300564726,Street Fighter 6,2023-06-02,T,2D Fighting,"Powered by Capcom’s proprietary RE ENGINE, the Street Fighter 6 experience spans across three distinct game modes featuring World Tour, Fighting Ground and Battle Hub. Diverse Roster of 18 Fighters. Play legendary masters and new fan favorites like Ryu, Chun-Li, Luke, Jamie, Kimberly and more in this latest edition with each character featuring striking new redesigns and exhilarating cinematic specials. Street Fighter 6 offers a highly evolved combat system with three control types - Classic, Modern and Dynamic - allowing you to quickly play to your skill level. The new Real Time Commentary Feature adds all the hype of a competitive match as well as easy-to-understand explanations about your gameplay. The Drive Gauge is a new system to manage your resources. Use it wisely in order to claim victory.","PlayStation 5,Xbox Series X,PC",92.0,95.0,Universal acclaim,75.0,991,Generally favorable,"92,90,92",Capcom,Capcom
1300531402,Final Fantasy XIV: Endwalker,2021-12-07,T,MMORPG,"Endwalker is the fourth expansion pack for FINAL FANTASY XIV Online. Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon.","PC,PlayStation 5",92.0,28.0,Universal acclaim,90.0,1688,Universal acclaim,"92,90",Creative Business Unit III,Square Enix
1300470937,UFO 50,2024-09-18,,Party,"UFO 50 is a collection of 50 single and multiplayer games from the creators of Spelunky, Downwell, and Catacomb Kids. Explore a variety of genres, from platformers and shoot 'em ups to puzzle games, roguelites, and RPGs. Our goal is to combine a familiar 8-bit aesthetic with new ideas and modern game design.",PC,91.0,19.0,Universal acclaim,73.0,89,Mixed or average,91,Mossmouth,Mossmouth
1300517830,Against the Storm,2023-12-08,,Management,"Banished meets Slay the Spire.

Against the Storm is a roguelite city builder set in a fantasy world where it never stops raining. You are the Queen's viceroy - a pioneer sent into the wilds to establish and manage new settlements inhabited by beavers, lizards, and humans.

Your goal is to survive long enough and gather the valuable resources necessary to rebuild and upgrade the Smouldering City. It's the only safe haven against the Blightstorm - a vile cycle of destruction ravaging everything in its path. Do you have what it takes to weather the storm?",PC,91.0,18.0,Universal acclaim,79.0,187,Generally favorable,91,Eremite Games,Hooded Horse
1300501971,Microsoft Flight Simulator,2020-08-18,E,Aircraft Sim,"From light planes to wide-body jets, fly highly detailed and accurate aircraft in the next generation of Microsoft Flight Simulator. Test your piloting skills against the challenges of night flying, real-time atmospheric simulation and live weather in a dynamic and living world. ","Xbox Series X,PC",91.0,66.0,Universal acclaim,72.0,1543,Mixed or average,"90,91",Asobo Studio,Xbox Game Studios
1300639422,Slay The Princess - The Pristine Cut,2024-10-24,M,Visual Novel,"You're on a path in the woods, and at the end of that path is a cabin. And in the basement of that cabin is a Princess.

You're here to slay her. If you don't, it will be the end of the world.

She will do everything in her power to stop you. She'll charm, and she'll lie, and she'll promise you the world, and if you let her, she'll kill you a dozen times over. You can't let that happen.

You do care about the fate of the world, right?

Slay the Princess - The Pristine Cut is a fully voice-acted horror tragicomedy featuring the impeccable talents of Jonathan Sims and Nichole Goodnight, with lovingly hand-penciled frames by Ignatz-winning graphic novelist Abby Howard.

This game features a princess. She's very bad and you have to get rid of her for all our sakes. She's just an ordinary human Princess, and you can definitely slay her as long as you put your mind to it. Hopefully you won't die. But if you do, you'll die a lot. Be careful and stay focused on the task at hand! What you say and what you believe will shift the story in dramatic ways.

Ah, but what’s in the Pristine Cut? Are you sure you want to find out? If you do, you’re likely to discover things that are best left experienced directly. Seriously, turn back.

…

Oh, you’re still reading? Very well, I shall tell you. The Pristine Cut contains, precisely:

- 3 brand new chapters replete with mysteries—and consequences.
- Never before seen Princesses who will all murder you without a second thought.
- Expansions to familiar routes: The Den, The Apotheosis and The Fury each have more than doubled in length.
- Over 35% more content overall—and all of it filled with great opportunities to listen to me and do your job.
- A new ending. And hopefully one that saves the world rather than damns it.
- Gallery to Track Your Progress: Cherish your memories, relive your exploits, and uncover deeply hidden secrets with the new gallery feature.
- Over 1,200 New Hand-Penciled Frames hand-illustrated by Abby Howard.
- Over 2,500 New Lines of Dialogue fully voiced dialogue by the impeccable Jonathan Sims and Nichole Goodnight.","PlayStation 5,Xbox Series X",91.0,8.0,Universal acclaim,85.0,67,Generally favorable,"91,86",Black Tabby Games,Serenity Forge
1300517235,I Was a Teenage Exocolonist,2022-08-25,,Card Battle,"Spend your teenage years on an alien planet in this narrative RPG with card-based battles. Explore, grow up, and fall in love. The choices you make and skills you master over ten years will determine the course of your life and the survival of your colony.","PC,PlayStation 5,Nintendo Switch",91.0,11.0,Universal acclaim,78.0,72,Generally favorable,"91,83,83",Northway Games,Finji
1300662648,Split Fiction,2025-03-06,T,Linear Action Adventure,"Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op action adventure from the studio behind 2021 Game of the Year Winner, It Takes Two. Mio and Zoe are contrasting writers – one writes sci-fi and the other writes fantasy – who become trapped in their own stories after being hooked up to a machine designed to steal their creative ideas. They’ll have to rely on each other to break free with their memories in-tact, working together to master a variety of abilities and overcome diverse challenges while jumping between sci-fi and fantasy worlds in this unexpected tale of friendship. Split Fiction is a unique action-adventure experience that keeps you on the edge of your couch with unexpected moments. One minute you’re taming adorable dragons and the next you’re fighting as cyber ninjas, escaping terrifying trolls, or dodging hover cars thrown by a robotic parking attendant. It’s weird, it’s wild, and it’s designed to be shared. Grab your co-op partner and get ready to overcome any obstacle thrown your way.","PC,PlayStation 5,Xbox Series X",91.0,90.0,Universal acclaim,89.0,415,Generally favorable,"92,91,92",Hazelight,"EA Originals,Electronic Arts"
1300507931,Crusader Kings III,2020-09-01,M,Real-Time Strategy,Paradox Development Studio brings you the sequel to one of the most popular strategy games ever made. Crusader Kings III is the heir to a long legacy of historical grand strategy experiences and arrives with a host of new ways to ensure the success of your royal house.,"PC,Xbox Series X,PlayStation 5",91.0,61.0,Universal acclaim,83.0,1023,Generally favorable,"91,83,85",Paradox Interactive,Paradox Interactive
1300450317,Caves of Qud,2024-12-05,,Roguelike,"Caves of Qud is a science fantasy roguelike epic steeped in retrofuturism, deep simulation, and swathes of sentient plants. Come inhabit an exotic world and chisel through layers of thousand-year-old civilizations. ",PC,91.0,7.0,Universal acclaim,80.0,32,Generally favorable,91,Freehold Games,Kitfox Games
1300487011,Satisfactory,2024-09-10,,Sandbox,"Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Pioneering for FICSIT Incorporated means charting and exploiting an alien planet, battling alien lifeforms, creating multi-story factories, entering conveyor belt heaven, automating vehicles, and researching new technologies. ",PC,91.0,18.0,Universal acclaim,88.0,328,Generally favorable,91,Coffee Stain Studios,"Coffee Stain Studios,Coffee Stain Publishing"
1300595887,Balatro,2024-02-20,,Card Battle," The poker roguelike. Balatro is a hypnotically satisfying deckbuilder where you play illegal poker hands, discover game-changing jokers, and trigger adrenaline-pumping, outrageous combos. ","PC,PlayStation 5,Nintendo Switch,Xbox Series X",90.0,32.0,Universal acclaim,83.0,833,Generally favorable,"90,90,90,95",LocalThunk,Playstack
1300563831,Animal Well,2024-05-09,,Metroidvania,"Explore a dense, interconnected labyrinth, and unravel its many secrets. Collect items to manipulate your environment in surprising and meaningful ways. Encounter creatures both beautiful and unsettling, as you attempt to survive what lurks in the dark. There is more than what you see.","PC,PlayStation 5,Nintendo Switch",90.0,30.0,Universal acclaim,79.0,560,Generally favorable,"90,88,90",Shared Memory,Bigmode
1300491012,Animal Crossing: New Horizons,2020-03-20,E,Virtual Life,"If the hustle and bustle of modern life’s got you down, Tom Nook has a new business venture up his sleeve that he knows you’ll adore: the Nook Inc. Deserted Island Getaway Package. Sure, you’ve crossed paths with colorful characters near and far. Had a grand time as one of the city folk. May’ve even turned over a new leaf and dedicated yourself to public service. But deep down, isn’t there a part of you that longs for…freedom? Then perhaps a long walk on the beach of a deserted island, where a rich wealth of untouched nature awaits, is just what the doctor ordered. Peaceful creativity and charm await as you roll up your sleeves and make your new life whatever you want it to be. Collect resources and craft everything from creature comforts to handy tools. Embrace your green thumb as you interact with flowers and trees in new ways. Set up a homestead where the rules of what goes indoors and out no longer apply. Make friends with new arrivals, enjoy the seasons, pole-vault across rivers as you explore, and more.",Nintendo Switch,90.0,111.0,Universal acclaim,58.0,7076,Mixed or average,90,Nintendo,Nintendo
1300575490,Slay the Princess,2023-10-23,,Visual Novel,"You're here to slay the princess. Don't believe her lies.
",PC,90.0,24.0,Universal acclaim,83.0,215,Generally favorable,90,Black Tabby Games,Black Tabby Games
1300455062,Factorio,2020-08-14,,Tycoon,"Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you. ","PC,Nintendo Switch",90.0,8.0,Universal acclaim,89.0,834,Generally favorable,"90,76",Wube Software LTD.,Wube Software LTD.
1300542939,Marvel's Spider-Man 2,2023-10-20,T,Open-World Action,"Spider-Men, Peter Parker and Miles Morales, return for an exciting new adventure in Marvel’s Spider-Man franchise for PS5. Swing, jump and utilize the new Web Wings to travel across Marvel’s New York, quickly switching between Peter Parker and Miles Morales to experience different stories and epic new powers, as the iconic villain Venom threatens to destroy their lives, their city and the ones they love. The incredible power of the symbiote forces Peter and Miles to face the ultimate test of strength, both inside and outside the mask, as they balance their lives, friendships and their duty to protect those in need. Quickly swap between both Spider-Men as you explore an expanded Marvel’s New York. Fight against a variety of new and iconic villains, including an original take on the monstrous Venom, the ruthless Kraven the Hunter, the volatile Lizard and many more. Explore a larger Marvel’s New York than ever before, featuring two new boroughs – Brooklyn and Queens – as well as locations like Coney Island and more.","PlayStation 5,PC",90.0,144.0,Universal acclaim,87.0,9192,Generally favorable,"90,76",Insomniac Games,Sony Interactive Entertainment
1300499954,Jack Jeanne,2023-06-15,T,Visual Novel,"The game's story centers around protagonist Kisa Tachibana, a girl who had given up on a career in theater, but receives an invitation to attend the Univeil Drama School, an elite drama school for male actors, where students play female roles (referred to as ""Jeanne"" roles) in addition to male roles (""Jack"" roles). 

However, to maintain her enrollment, she must land a starring role in the school's play at the end of the year and also hide that she is a girl.",Nintendo Switch,90.0,9.0,Universal acclaim,73.0,47,Mixed or average,90,Broccoli,"Aksys Games,Broccoli"
1300530056,Tsukihime: A Piece of Blue Glass Moon,2024-06-27,M,Visual Novel," TSUKIHIME -A piece of blue glass moon- collects the two tales that make up the ""Near Side of the Moon"" portion of the original Tsukihime: Arcueid's scenario, ""Moon Princess,"" and Ciel's scenario, ""Midnight Rainbow."" Creator Kinoko Nasu has painstakingly disassembled and rebuilt the story, updating the setting to 2010s Tokyo and expanding the narrative. This reimagined presentation will exhilarate players with its hard-hitting tension and realism. Featuring beautifully evolved visuals, animations, and music, TSUKIHIME -A piece of blue glass moon- presents a fresh take on TYPE-MOON's genre-defining classic. ","Nintendo Switch,PlayStation 4",90.0,9.0,Universal acclaim,84.0,102,Generally favorable,"90,94",Type-Moon,Aniplex Inc.
1300468536,Ori and the Will of the Wisps,2020-03-11,E,Metroidvania,"The little spirit Ori is no stranger to peril, but when a fateful flight puts the owlet Ku in harm’s way, it will take more than bravery to bring a family back together, heal a broken land, and discover Ori’s true destiny. From the creators of the acclaimed action-platformer Ori and the Blind Forest comes the highly anticipated sequel. Embark on an all-new adventure in a vast world filled with new friends and foes that come to life in stunning, hand-painted artwork. Set to a fully orchestrated original score, Ori and the Will of the Wisps continues the Moon Studios tradition of tightly crafted platforming action and deeply emotional storytelling.","Xbox One,PC,Xbox Series X,Nintendo Switch",90.0,71.0,Universal acclaim,89.0,2410,Generally favorable,"90,88,92,93",Moon Studios,"Microsoft Game Studios,Microsoft,Xbox Game Studios"
1300576831,VIDEOVERSE,2023-08-07,,Adventure,"Relive the days of past social gaming networks in VIDEOVERSE, a decision-based narrative adventure focusing on character development, friendship and love, from the developer behind One Night Stand.

As Emmett, a young video game fan and aspiring artist, dive into this fictional video game era, where the Kinmoku Shark gaming system and its online social network, Videoverse, were still popular. Strengthen Emmett's friendships, share fan art and browse the lively gaming communities. Make decisions that will change how Emmett grows, his approach to Videoverse and, ultimately, the final outcome!

Will your actions help Videoverse thrive, or will you get caught up in teenage drama, video game fandoms and corporate conspiracies?",PC,90.0,7.0,Universal acclaim,64.0,20,Mixed or average,90,Kinmoku,Kinmoku
1300617209,The Last of Us Part II Remastered,2024-01-19,M,Survival,"Play the winner of over 300 Game of the Year awards, now remastered for the PlayStation5 console. 

Experience for the first time or relive Ellie and Abby's story with graphical enhancements, new gameplay modes like the roguelike survival experience No Return, full DualSense wireless controller integration, and more.",PlayStation 5,90.0,87.0,Universal acclaim,77.0,2332,Generally favorable,90,Naughty Dog,Sony Interactive Entertainment
